Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time
"[155.70986168181818, -29.656880000000005]",7.176,0.136,12,10,89.886,121.863,False,-0.79489,01:42
"[155.63112405263158, -29.624344368421056]",16.266,0.023,12,7,85.938,96.043,,,01:44
"[155.59125355555554, -29.588227962962964]",14.775,0.039,21,6,132.168,139.61,,,01:46
"[155.67747689285713, -29.621995142857145]",9.396,0.101,23,5,140.68,66.115,False,0.13097,01:48
"[155.6825417777778, -29.60936727777778]",12.164,0.039,17,1,93.731,17.801,,,01:50
"[155.70738347058824, -29.635140176470586]",11.192,0.043,15,2,95.435,9.133,,,01:52
"[155.6678205, -29.5502624]",7.679,0.054,10,0,55.095,0.0,,,01:54
"[155.67986247619044, -29.54642319047619]",11.536,0.05,19,2,110.316,28.535,,,01:56
"[155.63755939999996, -29.513150349999997]",9.232,0.075,16,4,95.12,89.504,False,-0.12291,01:58
"[155.73352359999998, -29.595146550000003]",7.159,0.124,13,7,72.199,179.877,False,0.0,02:00
"[155.6940837826087, -29.537498260869558]",9.642,0.079,17,6,91.078,180.217,False,0.45856,02:02
,0.0,0.0,0,0,0.0,0.0,,,02:04
"[155.76634883333332, -29.583499083333336]",3.71,0.555,19,5,101.986,91.815,,,02:06
"[155.73998577419357, -29.552182354838713]",11.911,0.07,26,5,128.189,66.283,False,0.41961,02:08
"[155.76064589473685, -29.53220647368421]",7.109,0.12,18,1,89.076,5.004,,,02:10
"[155.7871004, -29.53576825]",5.696,0.196,12,8,69.588,182.02,,,02:12
"[155.76223708333336, -29.537393305555554]",7.719,0.192,24,12,225.026,306.941,False,0.88848,02:14
"[155.74432609999994, -29.535046966666666]",11.782,0.069,18,12,166.482,247.576,False,-0.43335,02:16
"[155.7940065862069, -29.524115344827585]",7.354,0.171,20,9,85.699,148.789,False,-0.0914,02:18
"[155.77926539393943, -29.496139757575754]",9.232,0.123,23,10,115.679,199.745,False,0.3826,02:20
"[155.8255051666667, -29.48984320833333]",13.102,0.044,22,2,105.818,23.69,False,-1.09383,02:22
"[155.80648445161293, -29.462343419354845]",6.541,0.231,19,12,94.925,100.949,False,0.71184,02:24
"[155.7897602857143, -29.43898921428572]",10.33,0.042,11,3,64.73,50.433,,,02:26
"[155.78018386666665, -29.408656066666666]",10.39,0.044,13,2,82.782,20.39,,,02:28
"[155.69859791666667, -29.374303999999995]",10.417,0.035,12,0,93.606,0.0,,,02:30
"[155.761802625, -29.354000374999995]",12.556,0.032,15,1,75.207,30.947,,,02:32
"[155.8070455333333, -29.419409599999998]",7.82,0.078,13,2,93.689,28.686,,,02:34
"[155.71994935714284, -29.338244785714288]",6.972,0.092,14,0,86.572,0.0,,,02:36
"[155.75381766666666, -29.352813944444442]",9.971,0.058,18,0,121.178,0.0,,,02:38
"[155.1144821481481, -29.101315796296287]",7.299,0.323,48,6,257.579,137.124,,,02:40
"[155.163222375, -29.090140041666672]",8.193,0.228,40,8,254.779,167.983,False,-0.38387,02:42
"[155.17617682051284, -29.062832769230774]",7.764,0.206,25,14,191.802,254.026,False,-0.5319,02:44
"[155.1185570892857, -29.056043964285713]",7.848,0.289,35,21,223.169,367.476,False,0.93767,02:46
"[155.16079262790709, -29.002258441860466]",6.363,0.338,29,14,205.685,269.861,False,-0.70368,02:48
"[155.1448489591837, -28.998171816326536]",5.934,0.443,28,21,165.365,293.99,False,0.28718,02:50
"[155.13029090625, -29.008990249999997]",9.215,0.12,21,11,145.293,205.289,False,-1.38116,02:52
"[155.1735306363636, -28.998249545454552]",6.848,0.149,17,5,81.513,85.968,False,-0.70152,02:54
"[155.2201588181818, -29.028995909090916]",5.947,0.099,11,0,39.143,0.0,,,02:56
"[155.19967495833333, -29.003472000000002]",4.733,0.341,17,7,144.696,284.029,,,02:58
"[155.23007399999997, -29.00093491666667]",11.527,0.029,6,6,56.895,129.595,,,03:00
,0.0,0.0,0,0,0.0,0.0,,,03:02
,0.0,0.0,0,0,0.0,0.0,,,03:04
"[155.82971823809524, -29.240649333333337]",5.919,0.191,15,6,106.979,114.39,,,03:06
"[155.84289136363637, -29.222823636363636]",6.087,0.095,10,1,62.407,24.099,,,03:08
"[155.78882736363633, -29.19144718181818]",5.706,0.108,7,4,57.009,55.798,,,03:10
,0.0,0.0,0,0,0.0,0.0,,,03:12
,0.0,0.0,0,0,0.0,0.0,,,03:14
,0.0,0.0,0,0,0.0,0.0,,,03:16
"[155.78061524999998, -29.104204312500002]",8.125,0.077,15,1,84.02,4.83,,,03:18
"[155.81598515384616, -29.124966692307698]",6.56,0.096,13,0,57.962,0.0,,,03:20
,0.0,0.0,0,0,0.0,0.0,,,03:22
,0.0,0.0,0,0,0.0,0.0,,,03:24
,0.0,0.0,0,0,0.0,0.0,,,03:26
,0.0,0.0,0,0,0.0,0.0,,,03:28
,0.0,0.0,0,0,0.0,0.0,,,03:30
,0.0,0.0,0,0,0.0,0.0,,,03:32
,0.0,0.0,0,0,0.0,0.0,,,03:34
,0.0,0.0,0,0,0.0,0.0,,,03:36
,0.0,0.0,0,0,0.0,0.0,,,03:38
,0.0,0.0,0,0,0.0,0.0,,,03:40
"[156.44848369999997, -29.580310599999997]",2.811,0.805,17,3,107.113,49.268,,,03:42
"[155.81688657894736, -28.938022421052622]",7.967,0.095,15,4,110.816,63.781,,,03:44
,0.0,0.0,0,0,0.0,0.0,,,03:46
"[155.85255081818184, -28.89078218181818]",4.916,0.145,7,4,72.008,69.298,,,03:48
"[155.86806676923075, -28.918762846153847]",8.269,0.061,11,2,77.627,27.575,,,03:50
,0.0,0.0,0,0,0.0,0.0,,,03:52
"[155.841116, -28.876308800000004]",1.968,0.822,8,2,64.431,44.197,,,03:54
,0.0,0.0,0,0,0.0,0.0,,,03:56
,0.0,0.0,0,0,0.0,0.0,,,03:58
,0.0,0.0,0,0,0.0,0.0,,,04:00
,0.0,0.0,0,0,0.0,0.0,,,04:02
,0.0,0.0,0,0,0.0,0.0,,,04:04
,0.0,0.0,0,0,0.0,0.0,,,04:06
,0.0,0.0,0,0,0.0,0.0,,,04:08
,0.0,0.0,0,0,0.0,0.0,,,04:10
,0.0,0.0,0,0,0.0,0.0,,,04:12
,0.0,0.0,0,0,0.0,0.0,,,04:14
,0.0,0.0,0,0,0.0,0.0,,,04:16
,0.0,0.0,0,0,0.0,0.0,,,04:18
,0.0,0.0,0,0,0.0,0.0,,,04:20
,0.0,0.0,0,0,0.0,0.0,,,04:22
,0.0,0.0,0,0,0.0,0.0,,,04:24
,0.0,0.0,0,0,0.0,0.0,,,04:26
,0.0,0.0,0,0,0.0,0.0,,,04:28
,0.0,0.0,0,0,0.0,0.0,,,04:30
,0.0,0.0,0,0,0.0,0.0,,,04:32
,0.0,0.0,0,0,0.0,0.0,,,04:34
,0.0,0.0,0,0,0.0,0.0,,,04:36
,0.0,0.0,0,0,0.0,0.0,,,04:38
,0.0,0.0,0,0,0.0,0.0,,,04:40
,0.0,0.0,0,0,0.0,0.0,,,04:42
,0.0,0.0,0,0,0.0,0.0,,,04:44
,0.0,0.0,0,0,0.0,0.0,,,04:46
,0.0,0.0,0,0,0.0,0.0,,,04:48
,0.0,0.0,0,0,0.0,0.0,,,04:50
,0.0,0.0,0,0,0.0,0.0,,,04:52
,0.0,0.0,0,0,0.0,0.0,,,04:54
,0.0,0.0,0,0,0.0,0.0,,,04:56
,0.0,0.0,0,0,0.0,0.0,,,04:58
,0.0,0.0,0,0,0.0,0.0,,,05:00
,0.0,0.0,0,0,0.0,0.0,,,05:02
,0.0,0.0,0,0,0.0,0.0,,,05:04
,0.0,0.0,0,0,0.0,0.0,,,05:06
,0.0,0.0,0,0,0.0,0.0,,,05:08
,0.0,0.0,0,0,0.0,0.0,,,05:10
,0.0,0.0,0,0,0.0,0.0,,,05:12
,0.0,0.0,0,0,0.0,0.0,,,05:14
,0.0,0.0,0,0,0.0,0.0,,,05:16
,0.0,0.0,0,0,0.0,0.0,,,05:18
,0.0,0.0,0,0,0.0,0.0,,,05:20
,0.0,0.0,0,0,0.0,0.0,,,05:22
,0.0,0.0,0,0,0.0,0.0,,,05:24
,0.0,0.0,0,0,0.0,0.0,,,05:26
,0.0,0.0,0,0,0.0,0.0,,,05:28
,0.0,0.0,0,0,0.0,0.0,,,05:30
,0.0,0.0,0,0,0.0,0.0,,,05:32
,0.0,0.0,0,0,0.0,0.0,,,05:34
,0.0,0.0,0,0,0.0,0.0,,,05:36
,0.0,0.0,0,0,0.0,0.0,,,05:38
,0.0,0.0,0,0,0.0,0.0,,,05:40
,0.0,0.0,0,0,0.0,0.0,,,05:42
,0.0,0.0,0,0,0.0,0.0,,,05:44
,0.0,0.0,0,0,0.0,0.0,,,05:46
,0.0,0.0,0,0,0.0,0.0,,,05:48
,0.0,0.0,0,0,0.0,0.0,,,05:50
,0.0,0.0,0,0,0.0,0.0,,,05:52
,0.0,0.0,0,0,0.0,0.0,,,05:54
,0.0,0.0,0,0,0.0,0.0,,,05:56
,0.0,0.0,0,0,0.0,0.0,,,05:58
,0.0,0.0,0,0,0.0,0.0,,,06:00
,0.0,0.0,0,0,0.0,0.0,,,06:02
,0.0,0.0,0,0,0.0,0.0,,,06:04
,0.0,0.0,0,0,0.0,0.0,,,06:06
,0.0,0.0,0,0,0.0,0.0,,,06:08
,0.0,0.0,0,0,0.0,0.0,,,06:10
,0.0,0.0,0,0,0.0,0.0,,,06:12
,0.0,0.0,0,0,0.0,0.0,,,06:14
,0.0,0.0,0,0,0.0,0.0,,,06:16
,0.0,0.0,0,0,0.0,0.0,,,06:18
,0.0,0.0,0,0,0.0,0.0,,,06:20
,0.0,0.0,0,0,0.0,0.0,,,06:22
,0.0,0.0,0,0,0.0,0.0,,,06:24
,0.0,0.0,0,0,0.0,0.0,,,06:26
,0.0,0.0,0,0,0.0,0.0,,,06:28
,0.0,0.0,0,0,0.0,0.0,,,06:30
,0.0,0.0,0,0,0.0,0.0,,,06:32
,0.0,0.0,0,0,0.0,0.0,,,06:34
,0.0,0.0,0,0,0.0,0.0,,,06:36
,0.0,0.0,0,0,0.0,0.0,,,06:38
,0.0,0.0,0,0,0.0,0.0,,,06:40
,0.0,0.0,0,0,0.0,0.0,,,06:42
,0.0,0.0,0,0,0.0,0.0,,,06:44
,0.0,0.0,0,0,0.0,0.0,,,06:46
,0.0,0.0,0,0,0.0,0.0,,,06:48
,0.0,0.0,0,0,0.0,0.0,,,06:50
,0.0,0.0,0,0,0.0,0.0,,,06:52
,0.0,0.0,0,0,0.0,0.0,,,06:54
,0.0,0.0,0,0,0.0,0.0,,,06:56
,0.0,0.0,0,0,0.0,0.0,,,06:58
,0.0,0.0,0,0,0.0,0.0,,,07:00
,0.0,0.0,0,0,0.0,0.0,,,07:02
,0.0,0.0,0,0,0.0,0.0,,,07:04
,0.0,0.0,0,0,0.0,0.0,,,07:06
,0.0,0.0,0,0,0.0,0.0,,,07:08
,0.0,0.0,0,0,0.0,0.0,,,07:10
,0.0,0.0,0,0,0.0,0.0,,,07:12
,0.0,0.0,0,0,0.0,0.0,,,07:14
,0.0,0.0,0,0,0.0,0.0,,,07:16
,0.0,0.0,0,0,0.0,0.0,,,07:18
,0.0,0.0,0,0,0.0,0.0,,,07:20
,0.0,0.0,0,0,0.0,0.0,,,07:22
,0.0,0.0,0,0,0.0,0.0,,,07:24
,0.0,0.0,0,0,0.0,0.0,,,07:26
,0.0,0.0,0,0,0.0,0.0,,,07:28
,0.0,0.0,0,0,0.0,0.0,,,07:30
,0.0,0.0,0,0,0.0,0.0,,,07:32
,0.0,0.0,0,0,0.0,0.0,,,07:34
,0.0,0.0,0,0,0.0,0.0,,,07:36
,0.0,0.0,0,0,0.0,0.0,,,07:38
,0.0,0.0,0,0,0.0,0.0,,,07:40
,0.0,0.0,0,0,0.0,0.0,,,07:42
,0.0,0.0,0,0,0.0,0.0,,,07:44
,0.0,0.0,0,0,0.0,0.0,,,07:46
,0.0,0.0,0,0,0.0,0.0,,,07:48
,0.0,0.0,0,0,0.0,0.0,,,07:50
,0.0,0.0,0,0,0.0,0.0,,,07:52
,0.0,0.0,0,0,0.0,0.0,,,07:54
,0.0,0.0,0,0,0.0,0.0,,,07:56
,0.0,0.0,0,0,0.0,0.0,,,07:58
,0.0,0.0,0,0,0.0,0.0,,,08:00
,0.0,0.0,0,0,0.0,0.0,,,08:02
,0.0,0.0,0,0,0.0,0.0,,,08:04
,0.0,0.0,0,0,0.0,0.0,,,08:06
,0.0,0.0,0,0,0.0,0.0,,,08:08
,0.0,0.0,0,0,0.0,0.0,,,08:10
,0.0,0.0,0,0,0.0,0.0,,,08:12
,0.0,0.0,0,0,0.0,0.0,,,08:14
,0.0,0.0,0,0,0.0,0.0,,,08:16
,0.0,0.0,0,0,0.0,0.0,,,08:18
,0.0,0.0,0,0,0.0,0.0,,,08:20
,0.0,0.0,0,0,0.0,0.0,,,08:22
,0.0,0.0,0,0,0.0,0.0,,,08:24
,0.0,0.0,0,0,0.0,0.0,,,08:26
,0.0,0.0,0,0,0.0,0.0,,,08:28
,0.0,0.0,0,0,0.0,0.0,,,08:30
,0.0,0.0,0,0,0.0,0.0,,,08:32
,0.0,0.0,0,0,0.0,0.0,,,08:34
,0.0,0.0,0,0,0.0,0.0,,,08:36
,0.0,0.0,0,0,0.0,0.0,,,08:38
,0.0,0.0,0,0,0.0,0.0,,,08:40
,0.0,0.0,0,0,0.0,0.0,,,08:42
,0.0,0.0,0,0,0.0,0.0,,,08:44
,0.0,0.0,0,0,0.0,0.0,,,08:46
,0.0,0.0,0,0,0.0,0.0,,,08:48
,0.0,0.0,0,0,0.0,0.0,,,08:50
,0.0,0.0,0,0,0.0,0.0,,,08:52
,0.0,0.0,0,0,0.0,0.0,,,08:54
,0.0,0.0,0,0,0.0,0.0,,,08:56
,0.0,0.0,0,0,0.0,0.0,,,08:58
,0.0,0.0,0,0,0.0,0.0,,,09:00
,0.0,0.0,0,0,0.0,0.0,,,09:02
,0.0,0.0,0,0,0.0,0.0,,,09:04
,0.0,0.0,0,0,0.0,0.0,,,09:06
,0.0,0.0,0,0,0.0,0.0,,,09:08
,0.0,0.0,0,0,0.0,0.0,,,09:10
,0.0,0.0,0,0,0.0,0.0,,,09:12
,0.0,0.0,0,0,0.0,0.0,,,09:14
,0.0,0.0,0,0,0.0,0.0,,,09:16
,0.0,0.0,0,0,0.0,0.0,,,09:18
,0.0,0.0,0,0,0.0,0.0,,,09:20
,0.0,0.0,0,0,0.0,0.0,,,09:22
,0.0,0.0,0,0,0.0,0.0,,,09:24
,0.0,0.0,0,0,0.0,0.0,,,09:26
,0.0,0.0,0,0,0.0,0.0,,,09:28
,0.0,0.0,0,0,0.0,0.0,,,09:30
,0.0,0.0,0,0,0.0,0.0,,,09:32
,0.0,0.0,0,0,0.0,0.0,,,09:34
,0.0,0.0,0,0,0.0,0.0,,,09:36
,0.0,0.0,0,0,0.0,0.0,,,09:38
,0.0,0.0,0,0,0.0,0.0,,,09:40
,0.0,0.0,0,0,0.0,0.0,,,09:42
,0.0,0.0,0,0,0.0,0.0,,,09:44
,0.0,0.0,0,0,0.0,0.0,,,09:46
,0.0,0.0,0,0,0.0,0.0,,,09:48
,0.0,0.0,0,0,0.0,0.0,,,09:50
,0.0,0.0,0,0,0.0,0.0,,,09:52
,0.0,0.0,0,0,0.0,0.0,,,09:54
,0.0,0.0,0,0,0.0,0.0,,,09:56
,0.0,0.0,0,0,0.0,0.0,,,09:58
,0.0,0.0,0,0,0.0,0.0,,,10:00
,0.0,0.0,0,0,0.0,0.0,,,10:02
,0.0,0.0,0,0,0.0,0.0,,,10:04
,0.0,0.0,0,0,0.0,0.0,,,10:06
,0.0,0.0,0,0,0.0,0.0,,,10:08
,0.0,0.0,0,0,0.0,0.0,,,10:10
,0.0,0.0,0,0,0.0,0.0,,,10:12
,0.0,0.0,0,0,0.0,0.0,,,10:14
,0.0,0.0,0,0,0.0,0.0,,,10:16
,0.0,0.0,0,0,0.0,0.0,,,10:18
,0.0,0.0,0,0,0.0,0.0,,,10:20
,0.0,0.0,0,0,0.0,0.0,,,10:22
,0.0,0.0,0,0,0.0,0.0,,,10:24
,0.0,0.0,0,0,0.0,0.0,,,10:26
,0.0,0.0,0,0,0.0,0.0,,,10:28
,0.0,0.0,0,0,0.0,0.0,,,10:30
,0.0,0.0,0,0,0.0,0.0,,,10:32
,0.0,0.0,0,0,0.0,0.0,,,10:34
,0.0,0.0,0,0,0.0,0.0,,,10:36
,0.0,0.0,0,0,0.0,0.0,,,10:38
,0.0,0.0,0,0,0.0,0.0,,,10:40
,0.0,0.0,0,0,0.0,0.0,,,10:42
,0.0,0.0,0,0,0.0,0.0,,,10:44
,0.0,0.0,0,0,0.0,0.0,,,10:46
,0.0,0.0,0,0,0.0,0.0,,,10:48
,0.0,0.0,0,0,0.0,0.0,,,10:50
,0.0,0.0,0,0,0.0,0.0,,,10:52
,0.0,0.0,0,0,0.0,0.0,,,10:54
,0.0,0.0,0,0,0.0,0.0,,,10:56
,0.0,0.0,0,0,0.0,0.0,,,10:58
,0.0,0.0,0,0,0.0,0.0,,,11:00
,0.0,0.0,0,0,0.0,0.0,,,11:02
,0.0,0.0,0,0,0.0,0.0,,,11:04
,0.0,0.0,0,0,0.0,0.0,,,11:06
,0.0,0.0,0,0,0.0,0.0,,,11:08
,0.0,0.0,0,0,0.0,0.0,,,11:10
,0.0,0.0,0,0,0.0,0.0,,,11:12
,0.0,0.0,0,0,0.0,0.0,,,11:14
,0.0,0.0,0,0,0.0,0.0,,,11:16
,0.0,0.0,0,0,0.0,0.0,,,11:18
,0.0,0.0,0,0,0.0,0.0,,,11:20
,0.0,0.0,0,0,0.0,0.0,,,11:22
,0.0,0.0,0,0,0.0,0.0,,,11:24
,0.0,0.0,0,0,0.0,0.0,,,11:26
,0.0,0.0,0,0,0.0,0.0,,,11:28
,0.0,0.0,0,0,0.0,0.0,,,11:30
,0.0,0.0,0,0,0.0,0.0,,,11:32
,0.0,0.0,0,0,0.0,0.0,,,11:34
,0.0,0.0,0,0,0.0,0.0,,,11:36
,0.0,0.0,0,0,0.0,0.0,,,11:38
,0.0,0.0,0,0,0.0,0.0,,,11:40
,0.0,0.0,0,0,0.0,0.0,,,11:42
,0.0,0.0,0,0,0.0,0.0,,,11:44
,0.0,0.0,0,0,0.0,0.0,,,11:46
,0.0,0.0,0,0,0.0,0.0,,,11:48
,0.0,0.0,0,0,0.0,0.0,,,11:50
,0.0,0.0,0,0,0.0,0.0,,,11:52
,0.0,0.0,0,0,0.0,0.0,,,11:54
,0.0,0.0,0,0,0.0,0.0,,,11:56
,0.0,0.0,0,0,0.0,0.0,,,11:58
,0.0,0.0,0,0,0.0,0.0,,,12:00
,0.0,0.0,0,0,0.0,0.0,,,12:02
,0.0,0.0,0,0,0.0,0.0,,,12:04
,0.0,0.0,0,0,0.0,0.0,,,12:06
,0.0,0.0,0,0,0.0,0.0,,,12:08
,0.0,0.0,0,0,0.0,0.0,,,12:10
,0.0,0.0,0,0,0.0,0.0,,,12:12
,0.0,0.0,0,0,0.0,0.0,,,12:14
,0.0,0.0,0,0,0.0,0.0,,,12:16
,0.0,0.0,0,0,0.0,0.0,,,12:18
,0.0,0.0,0,0,0.0,0.0,,,12:20
,0.0,0.0,0,0,0.0,0.0,,,12:22
,0.0,0.0,0,0,0.0,0.0,,,12:24
,0.0,0.0,0,0,0.0,0.0,,,12:26
,0.0,0.0,0,0,0.0,0.0,,,12:28
,0.0,0.0,0,0,0.0,0.0,,,12:30
,0.0,0.0,0,0,0.0,0.0,,,12:32
,0.0,0.0,0,0,0.0,0.0,,,12:34
,0.0,0.0,0,0,0.0,0.0,,,12:36
,0.0,0.0,0,0,0.0,0.0,,,12:38
,0.0,0.0,0,0,0.0,0.0,,,12:40
,0.0,0.0,0,0,0.0,0.0,,,12:42
,0.0,0.0,0,0,0.0,0.0,,,12:44
,0.0,0.0,0,0,0.0,0.0,,,12:46
,0.0,0.0,0,0,0.0,0.0,,,12:48
,0.0,0.0,0,0,0.0,0.0,,,12:50
,0.0,0.0,0,0,0.0,0.0,,,12:52
,0.0,0.0,0,0,0.0,0.0,,,12:54
,0.0,0.0,0,0,0.0,0.0,,,12:56
,0.0,0.0,0,0,0.0,0.0,,,12:58
,0.0,0.0,0,0,0.0,0.0,,,13:00
,0.0,0.0,0,0,0.0,0.0,,,13:02
,0.0,0.0,0,0,0.0,0.0,,,13:04
,0.0,0.0,0,0,0.0,0.0,,,13:06
,0.0,0.0,0,0,0.0,0.0,,,13:08
,0.0,0.0,0,0,0.0,0.0,,,13:10
,0.0,0.0,0,0,0.0,0.0,,,13:12
,0.0,0.0,0,0,0.0,0.0,,,13:14
,0.0,0.0,0,0,0.0,0.0,,,13:16
,0.0,0.0,0,0,0.0,0.0,,,13:18
,0.0,0.0,0,0,0.0,0.0,,,13:20
,0.0,0.0,0,0,0.0,0.0,,,13:22
,0.0,0.0,0,0,0.0,0.0,,,13:24
,0.0,0.0,0,0,0.0,0.0,,,13:26
,0.0,0.0,0,0,0.0,0.0,,,13:28
,0.0,0.0,0,0,0.0,0.0,,,13:30
,0.0,0.0,0,0,0.0,0.0,,,13:32
,0.0,0.0,0,0,0.0,0.0,,,13:34
,0.0,0.0,0,0,0.0,0.0,,,13:36
,0.0,0.0,0,0,0.0,0.0,,,13:38
,0.0,0.0,0,0,0.0,0.0,,,13:40
,0.0,0.0,0,0,0.0,0.0,,,13:42
,0.0,0.0,0,0,0.0,0.0,,,13:44
,0.0,0.0,0,0,0.0,0.0,,,13:46
,0.0,0.0,0,0,0.0,0.0,,,13:48
,0.0,0.0,0,0,0.0,0.0,,,13:50
,0.0,0.0,0,0,0.0,0.0,,,13:52
,0.0,0.0,0,0,0.0,0.0,,,13:54
,0.0,0.0,0,0,0.0,0.0,,,13:56
,0.0,0.0,0,0,0.0,0.0,,,13:58
,0.0,0.0,0,0,0.0,0.0,,,14:00
,0.0,0.0,0,0,0.0,0.0,,,14:02
,0.0,0.0,0,0,0.0,0.0,,,14:04
,0.0,0.0,0,0,0.0,0.0,,,14:06
,0.0,0.0,0,0,0.0,0.0,,,14:08
,0.0,0.0,0,0,0.0,0.0,,,14:10
,0.0,0.0,0,0,0.0,0.0,,,14:12
,0.0,0.0,0,0,0.0,0.0,,,14:14
,0.0,0.0,0,0,0.0,0.0,,,14:16
,0.0,0.0,0,0,0.0,0.0,,,14:18
,0.0,0.0,0,0,0.0,0.0,,,14:20
,0.0,0.0,0,0,0.0,0.0,,,14:22
,0.0,0.0,0,0,0.0,0.0,,,14:24
