Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time
,0.0,0.0,0,0,0.0,0.0,,,00:00
,0.0,0.0,0,0,0.0,0.0,,,00:02
,0.0,0.0,0,0,0.0,0.0,,,00:04
,0.0,0.0,0,0,0.0,0.0,,,00:06
,0.0,0.0,0,0,0.0,0.0,,,00:08
,0.0,0.0,0,0,0.0,0.0,,,00:10
,0.0,0.0,0,0,0.0,0.0,,,00:12
,0.0,0.0,0,0,0.0,0.0,,,00:14
,0.0,0.0,0,0,0.0,0.0,,,00:16
,0.0,0.0,0,0,0.0,0.0,,,00:18
,0.0,0.0,0,0,0.0,0.0,,,00:20
,0.0,0.0,0,0,0.0,0.0,,,00:22
,0.0,0.0,0,0,0.0,0.0,,,00:24
,0.0,0.0,0,0,0.0,0.0,,,00:26
,0.0,0.0,0,0,0.0,0.0,,,00:28
,0.0,0.0,0,0,0.0,0.0,,,00:30
,0.0,0.0,0,0,0.0,0.0,,,00:32
,0.0,0.0,0,0,0.0,0.0,,,00:34
,0.0,0.0,0,0,0.0,0.0,,,00:36
,0.0,0.0,0,0,0.0,0.0,,,00:38
,0.0,0.0,0,0,0.0,0.0,,,00:40
,0.0,0.0,0,0,0.0,0.0,,,00:42
,0.0,0.0,0,0,0.0,0.0,,,00:44
,0.0,0.0,0,0,0.0,0.0,,,00:46
,0.0,0.0,0,0,0.0,0.0,,,00:48
,0.0,0.0,0,0,0.0,0.0,,,00:50
,0.0,0.0,0,0,0.0,0.0,,,00:52
,0.0,0.0,0,0,0.0,0.0,,,00:54
,0.0,0.0,0,0,0.0,0.0,,,00:56
,0.0,0.0,0,0,0.0,0.0,,,00:58
,0.0,0.0,0,0,0.0,0.0,,,01:00
,0.0,0.0,0,0,0.0,0.0,,,01:02
,0.0,0.0,0,0,0.0,0.0,,,01:04
,0.0,0.0,0,0,0.0,0.0,,,01:06
,0.0,0.0,0,0,0.0,0.0,,,01:08
,0.0,0.0,0,0,0.0,0.0,,,01:10
,0.0,0.0,0,0,0.0,0.0,,,01:12
,0.0,0.0,0,0,0.0,0.0,,,01:14
,0.0,0.0,0,0,0.0,0.0,,,01:16
,0.0,0.0,0,0,0.0,0.0,,,01:18
,0.0,0.0,0,0,0.0,0.0,,,01:20
,0.0,0.0,0,0,0.0,0.0,,,01:22
,0.0,0.0,0,0,0.0,0.0,,,01:24
